Fecha,Último_platino,Apertura_platino,Máximo_platino,Mínimo_platino,% var._platino,Materia
2000-01-04,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-05,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-06,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-07,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-10,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-11,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-12,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-13,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-14,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-18,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-19,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-20,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-21,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-24,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-25,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-26,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-27,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-28,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-01-31,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-01,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-02,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-03,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-04,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-07,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-08,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-09,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-10,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-11,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-14,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-15,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-16,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-17,1367.9,1362.9,1371.65,1353.8,0.33,platino
2000-02-18,1367.9,1362.9,1371.65,1353.8,0.33,platino
